-0.901587	0.009524	278.691746
-2.704762	0.028571	278.755238
-2.886984	-0.210794	279.229841
-2.915556	-0.433333	280.026667
-2.902857	-0.585714	281.360000
-2.845873	-0.595397	282.152063
-2.790000	-0.562381	282.736190
-2.790000	-0.524286	283.117143
-2.920952	-0.510000	283.379048
-3.128571	-0.510635	283.569524
-3.300000	-0.523333	283.760000
-3.332698	-0.511905	283.890159
-3.212063	-0.473810	283.953651
-3.011429	-0.452857	283.960000
-2.791587	-0.425556	283.960000
-2.550317	-0.381111	283.960000
-2.570952	-0.336667	283.960000
-2.674444	-0.295556	283.948889
-2.756984	-0.270159	283.885397
-2.748095	-0.252381	283.860000
-2.676032	-0.241746	283.861587
-2.517302	-0.311587	283.925079
-2.427143	-0.375714	284.045714
-2.420794	-0.432857	284.236190
-2.436667	-0.462222	284.482222
-2.442381	-0.506667	284.698095
-2.416984	-0.595556	284.825079
-2.350159	-0.684444	284.952063
-2.280952	-0.774286	285.079048
-2.287302	-0.869524	285.206032
-2.384921	-1.001270	285.406032
-2.550000	-1.160000	285.660000
-2.467460	-1.239365	286.009206
-2.384921	-1.318730	286.358413
-2.302381	-1.398095	286.707619
-2.192857	-1.272381	286.948889
-2.078571	-1.110476	287.171111
-1.964286	-0.948571	287.393333
-1.967778	-0.762222	287.571111
-2.021746	-0.565397	287.729841
-2.075714	-0.368571	287.888571
-1.986508	-0.218889	288.169524
-1.780159	-0.107778	288.550476
-1.573810	0.003333	288.931429
-1.418254	0.072540	289.312381
-1.338889	0.078889	289.693333
-1.259524	0.085238	290.074286
-1.199206	0.103492	290.399683
-1.196032	0.157460	290.558413
-1.192857	0.211429	290.717143
-1.199524	0.288254	290.882222
-1.294762	0.570794	291.104444
-1.390000	0.853333	291.326667
-1.485238	1.135873	291.548889
-1.251746	1.321905	291.861587
-1.000952	1.502857	292.179048
-0.750159	1.683810	292.496508
-0.509524	1.656508	292.636190
-0.271429	1.577143	292.731429
-0.033333	1.497778	292.826667
0.142857	1.393651	292.880635
0.285714	1.276190	292.912381
0.428571	1.158730	292.944127
0.571429	1.041270	292.975873
